measure,group,n,mean,control_mean,diff,p_value,win_rate,std,null_std
ret,erev,332,0.00139,8e-05,0.00131,0.0671,0.52711,0.01625,0.00071
ret,yom_tov,865,-1e-05,1e-05,-2e-05,0.9734,0.5237,0.0132,0.00046
ret,chol_hamoed,591,0.00031,0.00015,0.00016,0.78505,0.51946,0.01196,0.00058
ret,minor,330,-0.00018,0.00022,-0.00039,0.5178,0.45455,0.01099,0.0006
rel_volume,erev,261,1.05491,1.07702,-0.0221,0.1248,1.0,0.20685,0.01443
rel_volume,yom_tov,681,1.02744,1.0655,-0.03806,0.0,1.0,0.2443,0.00881
rel_volume,chol_hamoed,458,1.06514,1.07221,-0.00707,0.50315,1.0,0.23527,0.01052
rel_volume,minor,253,1.04733,1.03961,0.00773,0.56915,1.0,0.21824,0.01365
rel_range,erev,219,1.15792,1.15034,0.00758,0.86025,1.0,0.78798,0.04416
rel_range,yom_tov,571,1.10919,1.16762,-0.05843,0.0543,0.99825,0.56387,0.03054
rel_range,chol_hamoed,387,1.19869,1.18746,0.01123,0.7803,1.0,0.62704,0.0408
rel_range,minor,216,1.16143,1.1068,0.05464,0.1909,0.99537,0.72241,0.04247
