era,test,n,mean,control_mean,diff,p_value,win_rate,std,null_std
1928-1969,high_holy_days_volume,26,1.01413,1.12995,-0.11583,0.0499,1.0,0.52795,0.05938
1928-1969,high_holy_days_return,55,-0.00173,-0.00154,-0.00019,0.9305,0.56364,0.02231,0.00227
1928-1969,yom_tov_return,364,-5e-05,-0.00027,0.00023,0.77815,0.53297,0.01521,0.00081
1928-1969,pre_closure_return,450,0.00357,-0.00033,0.0039,0.0,0.66889,0.01326,0.00061
1970-1989,high_holy_days_volume,27,0.82932,1.07021,-0.24089,0.0002,1.0,0.27363,0.05438
1970-1989,high_holy_days_return,27,0.00045,-0.0018,0.00225,0.4027,0.55556,0.00633,0.00326
1970-1989,yom_tov_return,172,-0.00057,-0.00018,-0.00039,0.66675,0.4593,0.01004,0.00095
1970-1989,pre_closure_return,163,0.00282,0.00047,0.00235,0.00105,0.69325,0.00675,0.00071
1990-2009,high_holy_days_volume,28,0.9442,1.07528,-0.13108,0.0005,1.0,0.2018,0.03271
1990-2009,high_holy_days_return,28,-0.00106,-0.00062,-0.00043,0.85845,0.53571,0.02014,0.00256
1990-2009,yom_tov_return,170,-5e-05,0.00037,-0.00041,0.6718,0.54706,0.01444,0.00099
1990-2009,pre_closure_return,172,0.00069,0.00025,0.00044,0.6048,0.52326,0.01001,0.00086
2010-2026,high_holy_days_volume,25,0.97674,1.0422,-0.06546,0.00475,1.0,0.11275,0.02278
2010-2026,high_holy_days_return,25,0.00025,0.00086,-0.0006,0.75055,0.48,0.00709,0.00193
2010-2026,yom_tov_return,159,0.00072,0.00054,0.00018,0.84,0.54717,0.0094,0.00086
2010-2026,pre_closure_return,156,0.00112,0.00049,0.00063,0.4605,0.62821,0.00794,0.00084
