holiday,category,n,p_value,win_rate,std,null_std,fdr_p,mean_bp,control_mean_bp,diff_bp
Lag BaOmer,minor,69,0.0385,0.3768,0.0091,0.0013,0.3924,-26.37,1.39,-27.76
Erev Rosh Hashanah I,erev,70,0.1932,0.5286,0.0168,0.0015,0.7778,-22.01,-2.34,-19.67
Yom Kippur,yom_tov,68,0.3074,0.5,0.0194,0.0019,0.8916,-26.16,-7.77,-18.39
Tisha B'Av,minor,60,0.3362,0.4167,0.0117,0.0013,0.8916,-9.26,2.9,-12.16
Sukkot CH 2,chol_hamoed,68,0.4768,0.5441,0.012,0.0017,0.8916,-6.31,5.4,-11.71
Passover VII,yom_tov,87,0.428,0.5287,0.011,0.0013,0.8916,-7.31,2.72,-10.03
Sukkot II,yom_tov,69,0.5526,0.5217,0.0173,0.0017,0.8916,-3.69,6.09,-9.79
Passover VIII,yom_tov,60,0.5434,0.5,0.0109,0.0016,0.8916,-2.7,6.71,-9.41
Rosh Hashanah II,yom_tov,69,0.5685,0.4783,0.0098,0.0016,0.8916,-10.02,-1.22,-8.8
Passover CH 1,chol_hamoed,69,0.5851,0.4783,0.0106,0.0015,0.8916,-3.06,4.83,-7.9
Sukkot I,yom_tov,69,0.6738,0.4203,0.0145,0.0019,0.9164,-16.57,-8.9,-7.67
Sukkot CH 1,chol_hamoed,66,0.7216,0.4545,0.0134,0.0021,0.9164,-17.06,-9.99,-7.07
Simchat Torah,yom_tov,69,0.6926,0.5362,0.014,0.0017,0.9164,3.31,9.98,-6.67
Passover II,yom_tov,47,0.7732,0.4894,0.0098,0.0018,0.9164,2.74,7.84,-5.09
Passover CH 2,chol_hamoed,44,0.8272,0.5227,0.0097,0.0019,0.9454,-0.81,3.22,-4.02
Shemini Atzeret,yom_tov,67,0.8875,0.4925,0.0115,0.0021,0.9467,-11.14,-8.33,-2.81
Tu BiShvat,minor,68,0.8848,0.4559,0.0086,0.0013,0.9467,-0.32,1.53,-1.85
Hanukkah I,minor,66,0.9268,0.4545,0.0112,0.0013,0.9566,1.29,2.51,-1.22
Sukkot CH 3,chol_hamoed,85,0.9813,0.4706,0.0144,0.0018,0.9813,-7.33,-6.94,-0.4
Sukkot CH 5,chol_hamoed,70,0.7513,0.5143,0.0139,0.0018,0.9164,5.83,0.33,5.5
Shavuot II,yom_tov,64,0.671,0.5312,0.0102,0.0015,0.9164,4.36,-1.88,6.24
Passover CH 4,chol_hamoed,61,0.4725,0.5902,0.0101,0.0016,0.8916,17.17,6.21,10.97
Erev Yom Kippur,erev,68,0.4918,0.5147,0.0115,0.0017,0.8916,12.79,1.67,11.12
Passover CH 3,chol_hamoed,69,0.3305,0.5797,0.0078,0.0015,0.8916,21.31,7.19,14.12
Sukkot CH 4,chol_hamoed,59,0.3934,0.5424,0.0128,0.0019,0.8916,22.57,6.77,15.79
Erev Sukkot I,erev,71,0.2576,0.493,0.0221,0.0017,0.8916,17.58,-1.0,18.58
Rosh Hashanah I,yom_tov,67,0.1945,0.5821,0.0149,0.0017,0.7778,10.71,-11.17,21.88
Passover I,yom_tov,60,0.1245,0.6333,0.0098,0.0016,0.664,30.48,6.68,23.8
Purim,minor,67,0.0842,0.5672,0.0135,0.0014,0.5386,25.87,1.88,23.99
Erev Shavuot I,erev,59,0.0471,0.5424,0.0093,0.0014,0.3924,29.27,1.73,27.54
Shavuot I,yom_tov,69,0.0415,0.5942,0.0129,0.0014,0.3924,30.99,2.94,28.05
Erev Passover I,erev,64,0.0491,0.5625,0.0172,0.0016,0.3924,35.96,4.75,31.21
