holiday,category,n,mean,control_mean,diff,p_value,win_rate,std,null_std,fdr_p
Yom Kippur,yom_tov,52,0.924,1.0852,-0.1612,0.0,1.0,0.4077,0.0326,0.0
Rosh Hashanah I,yom_tov,54,0.955,1.0758,-0.1208,0.0006,1.0,0.2094,0.0314,0.0096
Shavuot I,yom_tov,54,0.9668,1.0219,-0.055,0.0784,1.0,0.1685,0.0327,0.6268
Passover I,yom_tov,46,0.9823,1.0347,-0.0524,0.0622,1.0,0.2108,0.028,0.6268
Erev Shavuot I,erev,46,0.9786,1.0274,-0.0488,0.1086,1.0,0.1484,0.0312,0.6947
Rosh Hashanah II,yom_tov,55,1.0742,1.1159,-0.0417,0.2274,1.0,0.2635,0.0347,0.7591
Erev Passover I,erev,49,0.9678,1.0079,-0.0401,0.195,1.0,0.2005,0.0314,0.7591
Shavuot II,yom_tov,50,0.9674,1.0019,-0.0345,0.2302,1.0,0.1886,0.0294,0.7591
Erev Sukkot I,erev,56,1.0715,1.1054,-0.0339,0.2768,1.0,0.1788,0.0316,0.7591
Sukkot CH 2,chol_hamoed,52,1.0969,1.1239,-0.027,0.4212,1.0,0.179,0.034,0.7591
Tisha B'Av,minor,46,1.0018,1.027,-0.0253,0.4044,1.0,0.1897,0.0304,0.7591
Sukkot CH 5,chol_hamoed,56,1.0803,1.1049,-0.0246,0.416,1.0,0.2182,0.0305,0.7591
Shemini Atzeret,yom_tov,55,1.0787,1.1024,-0.0237,0.4744,1.0,0.2337,0.0338,0.7591
Lag BaOmer,minor,53,1.007,1.03,-0.023,0.4324,1.0,0.1703,0.0297,0.7591
Passover II,yom_tov,38,1.0053,1.0273,-0.022,0.5336,1.0,0.1494,0.0357,0.8001
Erev Yom Kippur,erev,55,1.0981,1.116,-0.018,0.5916,1.0,0.1671,0.0336,0.823
Passover CH 3,chol_hamoed,53,1.0001,1.0176,-0.0175,0.5501,1.0,0.2227,0.0295,0.8001
Sukkot I,yom_tov,55,1.0815,1.0936,-0.0121,0.7134,1.0,0.2276,0.0329,0.8309
Sukkot CH 3,chol_hamoed,65,1.0819,1.0933,-0.0114,0.6983,1.0,0.2402,0.0296,0.8309
Sukkot CH 4,chol_hamoed,45,1.1151,1.126,-0.0109,0.7668,1.0,0.2563,0.0372,0.8309
Sukkot CH 1,chol_hamoed,51,1.0862,1.0948,-0.0086,0.798,1.0,0.2899,0.0338,0.8309
Passover VII,yom_tov,66,1.0036,1.0094,-0.0058,0.8296,1.0,0.2087,0.0269,0.8309
Passover CH 1,chol_hamoed,55,1.0055,1.0113,-0.0058,0.8309,1.0,0.1948,0.0278,0.8309
Passover VIII,yom_tov,46,1.0423,1.0364,0.0059,0.8284,1.0,0.1711,0.0277,0.8309
Simchat Torah,yom_tov,55,1.1257,1.1164,0.0094,0.7724,1.0,0.2394,0.0325,0.8309
Sukkot II,yom_tov,55,1.1293,1.1152,0.0142,0.6594,1.0,0.2744,0.033,0.8309
Passover CH 4,chol_hamoed,46,1.0558,1.034,0.0218,0.435,1.0,0.1797,0.0279,0.7591
Purim,minor,51,1.0565,1.0326,0.0239,0.4128,1.0,0.2373,0.0295,0.7591
Erev Rosh Hashanah I,erev,55,1.1363,1.1115,0.0248,0.4589,1.0,0.2658,0.0334,0.7591
Hanukkah I,minor,51,1.0636,1.0374,0.0262,0.4119,1.0,0.228,0.032,0.7591
Tu BiShvat,minor,52,1.1037,1.0698,0.0339,0.2609,1.0,0.2463,0.0304,0.7591
Passover CH 2,chol_hamoed,35,1.0721,1.0324,0.0397,0.2298,1.0,0.3224,0.0334,0.7591
