hebrew_year,year,entry,exit,sessions,window_return
5689,1928,1928-09-14,1928-09-24,6,0.013718113713349744
5690,1929,1929-10-04,1929-10-14,6,0.06631761409523329
5691,1930,1930-09-22,1930-10-02,8,-0.04908278469873306
5692,1931,1931-09-11,1931-09-21,6,-0.13869183084357206
5693,1932,1932-09-30,1932-10-10,6,-0.20544552760969792
5694,1933,1933-09-20,1933-09-29,7,-0.09073894774836955
5695,1934,1934-09-07,1934-09-19,8,-0.02017940623724379
5696,1935,1935-09-27,1935-10-07,6,-0.0025952150135390983
5697,1936,1936-09-16,1936-09-25,7,0.058666674296061094
5698,1937,1937-09-03,1937-09-15,7,-0.054980619623051896
5699,1938,1938-09-23,1938-10-05,8,0.1320422575117175
5700,1939,1939-09-13,1939-09-22,7,-0.008442030616386265
5701,1940,1940-10-02,1940-10-11,7,-0.0257826649929066
5702,1941,1941-09-19,1941-10-01,8,-0.011661796501841182
5703,1942,1942-09-11,1942-09-21,6,0.012880521916697862
5704,1943,1943-09-29,1943-10-08,7,-0.024146540909768754
5705,1944,1944-09-15,1944-09-27,8,0.022489938735807735
5706,1945,1945-09-07,1945-09-17,6,-0.0139859707410529
5707,1946,1946-09-25,1946-10-04,7,-0.019205295001774148
5708,1947,1947-09-12,1947-09-24,8,0.0
5709,1948,1948-10-01,1948-10-13,7,0.026802812651503194
5710,1949,1949-09-23,1949-10-03,6,0.0019268264119156608
5711,1950,1950-09-11,1950-09-21,8,0.04083826996002893
5712,1951,1951-09-28,1951-10-10,8,0.015047307739710414
5713,1952,1952-09-19,1952-09-29,6,0.0044770293739455624
5714,1953,1953-09-09,1953-09-18,7,-0.02959826075609573
5715,1954,1954-09-27,1954-10-07,8,0.004918532229209349
5716,1955,1955-09-16,1955-09-26,6,-0.055001098554975036
5717,1956,1956-09-05,1956-09-14,7,-0.016868000115981996
5718,1957,1957-09-25,1957-10-04,7,-0.0044206288676730265
5719,1958,1958-09-12,1958-09-24,8,0.025757264196208052
5720,1959,1959-10-02,1959-10-12,6,0.002097883396577016
5721,1960,1960-09-21,1960-09-30,7,-0.019241327523044416
5722,1961,1961-09-08,1961-09-20,8,-0.013553302978352555
5723,1962,1962-09-28,1962-10-08,6,0.014217153555224016
5724,1963,1963-09-18,1963-09-27,7,-0.009203375965018856
5725,1964,1964-09-04,1964-09-16,7,0.005799851560527314
5726,1965,1965-09-24,1965-10-06,8,0.005776541789073608
5727,1966,1966-09-14,1966-09-23,7,-0.01845063989825413
5728,1967,1967-10-04,1967-10-13,7,-0.0044591963477645935
5729,1968,1968-09-20,1968-10-01,6,0.01180402228029287
5730,1969,1969-09-12,1969-09-22,6,0.015935408942610252
5731,1970,1970-09-30,1970-10-09,7,0.00925265422372501
5732,1971,1971-09-17,1971-09-29,8,-0.02060821906223631
5733,1972,1972-09-08,1972-09-18,6,-0.013980943206483132
5734,1973,1973-09-26,1973-10-05,7,0.009372384690848667
5735,1974,1974-09-16,1974-09-26,8,0.0030183661604930023
5736,1975,1975-09-05,1975-09-15,6,-0.03200193185316669
5737,1976,1976-09-24,1976-10-04,6,-0.025936368851211644
5738,1977,1977-09-12,1977-09-22,8,-0.009788633274552372
5739,1978,1978-09-29,1978-10-11,8,0.027794016468450478
5740,1979,1979-09-21,1979-10-01,6,-0.017289794885522403
5741,1980,1980-09-10,1980-09-19,7,0.03557409284718416
5742,1981,1981-09-28,1981-10-08,8,0.05868604562395152
5743,1982,1982-09-17,1982-09-27,6,0.00873112744332083
5744,1983,1983-09-07,1983-09-16,7,-0.010181035041159081
5745,1984,1984-09-26,1984-10-05,7,-0.021650265395382284
5746,1985,1985-09-13,1985-09-25,8,-0.012301131457831183
5747,1986,1986-10-03,1986-10-13,6,0.00941336222259248
5748,1987,1987-09-23,1987-10-02,7,0.021420358138537043
5749,1988,1988-09-09,1988-09-21,8,0.01244194037544033
5750,1989,1989-09-29,1989-10-09,6,0.03050263234328421
5751,1990,1990-09-19,1990-09-28,7,-0.033322861993557384
5752,1991,1991-09-06,1991-09-18,8,-0.005551281491202764
5753,1992,1992-09-25,1992-10-07,8,-0.024375542306598552
5754,1993,1993-09-15,1993-09-24,7,-0.008600522461459481
5755,1994,1994-09-02,1994-09-15,8,0.008110591314940407
5756,1995,1995-09-22,1995-10-04,8,-0.0004469595419777095
5757,1996,1996-09-13,1996-09-23,6,0.008728366640008867
5758,1997,1997-10-01,1997-10-10,7,0.012109992201712716
5759,1998,1998-09-18,1998-09-30,8,-0.003019358104439318
