holiday,n,p_value,win_rate,std,null_std,fdr_p,mean_bp,control_mean_bp,diff_bp
Easter Monday,99,0.2328,0.4444,0.0105,0.0013,0.5244,-18.76,-3.54,-15.23
Valentine's Day,71,0.5785,0.4366,0.0098,0.0012,0.5785,-6.89,-0.29,-6.61
Cinco de Mayo,70,0.5603,0.5714,0.0092,0.0014,0.5785,7.3,-0.58,7.87
Veterans Day,55,0.5428,0.6909,0.0131,0.0017,0.5785,12.75,2.51,10.24
Tax Day,64,0.468,0.625,0.009,0.0015,0.5785,16.17,5.31,10.86
Halloween,71,0.5347,0.5211,0.012,0.0019,0.5785,11.64,0.28,11.36
Day after Thanksgiving,97,0.2465,0.6495,0.0096,0.0012,0.5244,21.09,7.06,14.03
Christmas Eve,58,0.2622,0.6552,0.0064,0.0014,0.5244,19.71,4.31,15.4
St. Patrick's Day,70,0.0915,0.6286,0.014,0.0015,0.4575,25.41,0.34,25.07
Columbus Day,90,0.0081,0.5778,0.0203,0.0024,0.081,31.77,-32.91,64.68
