holiday,n,mean,control_mean,diff,p_value,win_rate,std,null_std,fdr_p
Christmas Eve,43,0.5697,1.0359,-0.4662,0.0,1.0,0.2178,0.0331,0.0
Day after Thanksgiving,76,0.6866,1.0898,-0.4032,0.0,1.0,0.3497,0.0233,0.0
Columbus Day,74,0.9062,1.0488,-0.1426,0.0002,1.0,0.312,0.0323,0.0006
Veterans Day,51,0.9714,1.1007,-0.1293,0.0,1.0,0.2145,0.0298,0.0
Valentine's Day,54,0.997,1.0473,-0.0502,0.0785,1.0,0.1584,0.0287,0.1308
Easter Monday,77,0.9367,0.9589,-0.0222,0.3808,1.0,0.2205,0.0257,0.544
Cinco de Mayo,55,1.0154,1.0139,0.0014,0.9566,1.0,0.1913,0.0282,0.9566
Tax Day,50,1.0383,1.0262,0.0121,0.6752,1.0,0.2059,0.0294,0.7503
Halloween,55,1.129,1.1125,0.0165,0.6106,1.0,0.163,0.0326,0.7503
St. Patrick's Day,55,1.0835,1.0205,0.0629,0.031,1.0,0.3103,0.0289,0.062
